label,sentence1
1,"in light of both our holding today and previous rulings in johnson, dueser, and gronroos, we now explicitly overrule dupree."
0,"see  mciver, 134 n.c.app. at 588, 518 s.e.2d at 526."
1,"to the extent that paprskar v. state, supra, applied the general test of waiver of constitutional rights set forth in johnson v. zerbst, supra, it is no longer viable."
1,"we reverse and remand, and in doing so, we overrule commonwealth v. constant"
1,"to the extent that other cases have cited carr for the proposition that a conviction under section 245(a)(2) does not involve moral turpitude, those cases, too, are overruled in that limited way."
1,"accordingly, it is overruled."
0,grigsby has since unsuccessfully filed multiple 28 u.s.c.  2255 motions to vacate his sentence.
0,"id., at 386387."
0,the following facts are taken from the administrative record.
0,"schweiker v. hansen, 450 u. s. 785, 791 (1981) (marshall, j., dissenting)."
1,we recognize that this reading of fager disapproves prior cases.
0,this is not allowable.
0," narrowstep, 2010 wl 5422405, at *12."
0,"transfer of property from a parent to a child is presumed to be a gift, and the presumption may only be overcome by clear and convincing evidence to the contrary."""")."
1,"accordingly, to the extent of any conflict nemecek v. state, 621 s.w.2d 404 (tex.cr.app. 1980) is overruled."
0,tenn. sup. ct. r. 14.
0,"see id.  275(a)(4) (""""no deduction shall be allowed for the following taxes: . . . excess profits taxes imposed by the authority of any foreign country . . . if the taxpayer chooses to take to any extent the benefits of [] 901.""""); 26 c.f.r.  1.901-1(h)(2) (""""taxpayers who are denied the credit for taxes for particular taxable years are the following: . . . [a] taxpayer who elects to  deduct taxes paid or accrued to any foreign country . . . [pursuant to sections] 164 and 275."""")."
0,"incompetence may occur at various points after conviction, and it may recede and later reoccur."
1,we therefore overrule mata and hartman to the extent of the conflict and reverse the trial court's judgment and remand the cause for a new trial.
0,"490 f.3d 575, 580-81 (7th cir. 2007)."
1,"app. 1981), or voninski v. voninski, 661 s.w.2d 872, 878-79 (tenn."
0,"more importantly, a sufficient factual basis exists here because mccoy stipulated he """"was a member of a conspiracy with others, in gaston county . . . to distribute and to possess with intent to distribute cocaine base, commonly known as 'crack cocaine.'"""""
1,the decision of the fourth district court of appeal holding section 550.081 unconstitutional is disapproved.
0,the court noted at the outset that the guarantees of that constitutional provisionfreedom from discrimination in housing and employmenthad been legislatively implemented through the illinois human rights act.
1,"we are fully in accord with the relaxation of the federal requirements as expressed in illinois v. gates, supra, and to the extent that berkshire v. commonwealth, supra; thompson v. commonwealth, supra; and buchenburger v. commonwealth, supra, express a contrary view, they are overruled."
0,"see scott, supra at 352; commonwealth v. ruffin, 475 mass. 1003, 1004 (2016)."
1,"for the reasons stated below, we approve the fifth district court of appeal's decision in winter park, and disapprove the decision in belleair to the extent described herein."
1,"however, to the extent that cervantes, and ex parte mcatee, 599 s.w.2d 335 (tex.crim.app. 1980), indicate that a failure to admonish pursuant to art. 26.13(a)(4) automatically entitles one to post-conviction collateral relief without a showing of harm, they are overruled."
1,"having reviewed the question en banc, we now answer that question in the affirmative and overrule laffey."
1,"in people v. correa (2012) 54 cal.4th 331, 142 cal.rptr.3d 546, 278 p.3d 809, also decided today, we are disapproving language in one of our cases to bring our section 654 jurisprudence closer to the statutory language."
1,"in reaching that conclusion, we recede from the previous holding of this court in hall v. state, 505 so.2d 657, 658 (fla. 2d dca), cause dismissed, 509 so.2d 1117 (fla. 1987), in which we stated that an essential element of proof in regard to the crime of robbery is ""that the accused had the specific intent to permanently deprive the owner of property."
1,"while not limited to these cases, to the extent the following cases are in conflict, they are overruled."
0,the court also offered no explanation for imposing the particular sentence it chose.
0,"even if his earlier filings had passed muster, trying a case is more difficult than drafting minimally coherent documents."
1,"to the extent that the holding in wilson v. bureau of state police, supra, conflicts with this opinion, it is overruled."
0,"furthermore, the trial court indicated in its order that it had """"consider[ed] . . . [appellant's] special appearance, the pleadings, the affidavits, and arguments of counsel."""""
0,"see  boles, 554 so.2d at 961 ([i]f the county and other persons are not bound, then the status of the road as public or private is subject to being litigated again, and the results of later litigation may be inconsistent with the results of the initial litigation.)."
0,"see tex. r. app. p. 48.4; see also in re schulman, 252 s.w.3d at 412 n.35; ex parte owens, 206 s.w.3d 670, 673 (tex. crim. app. 2006)."
1,"we flatly rejected this logic a century ago in state ex rel. state capitol commission v. lister, 91 wash. 9, 156 p. 858 (1916), and we reject it again now."
0,"the tribe sold the land for a fixed sum of $50,000."
1,"to the extent that these cases directly and indirectly misconstrued the rationale of hedges, they are hereby overruled."
0,"the supreme court has chosen not """"to prescribe a precise algorithm for determining the proper restitution amount."""""
0,"see bassett, 528 f.3d at 430."
0,"in this case, the trial court did not clearly err by finding clear and convincing evidence to support termination under mcl 712a.19b(3)(g) and (j)."
1,"to the extent that this opinion causes conflict with earlier decisions such as holmes, those cases are overruled."
0,"569 u.s., at   , 133 s.ct., at 1576(dissenting opinion)."
1,"we therefore overrule mcgore; and we hold, like every other circuit to have reached the issue, that under rule 15(a) a district court can allow a plaintiff to amend his complaint even when the complaint is subject to dismissal under the plra."
1,we disapprove this dicta.
1,"we disapprove abdelaziz as well as henderson v. north, 545 so.2d 486 (fla. 1st dca 1989), which adopted the principle of abdelaziz, to the extent that they disapproved a cause of action for negligent stillbirth."
1,"we therefore conclude that the improper-purpose doctrine has not worked well in practice, and that more good than harm will come by departing from precedent."
1,we overrule this holding based upon our conclusion that review by the court of appeals under section 22-63-117(11) is predicated upon a final order of the school board resulting from proceedings conducted under section 22-63-117.
0,"and as a creature of state law, bbghad may exercise a portion of the state's police power."
1,"ecause we find such an approach contradicts the logical underpinning of arbuckle, we decline to follow rosaia."
1,the majority now overrules modesto insofar as it holds that failure to instruct upon a lesser included offense is prejudicial per se.
0,we affirm without additional comment the trial court's rulings on the propriety of notice and adjudication regarding graves' status as an hfo.
1,##note: brock was reversed not overruled.
0," """"phoenix"""" presumably refers to phoenix v. pennsylvania board of probation and parole (pa. cmwlth., no. 1243 c.d. 2017, filed april 5, 2018), 2018 wl 1630602."
1,"because the rule announced in downs was in effect for only about a year, petitioner contends we should overrule that case as having been wrongly decided."
1,"to the extent that the holding ingraves v. commonwealth, 21 va. app. 161, 462 s.e.2d 902 (1995), aff'd on reh'g en banc, 22 va. app. 262, 468 s.e.2d 710 (1996), is in conflict with our decision here, we overrule that holding."
0,"the progressive concrete court contrasted the language of section 2673.1, subdivision (g), which deals with claims for unpaid wages in the garment manufacturing industry and adopts the same appeal procedures as section 98.2. section 2673.1 used different language regarding an appeal bond requirement, providing in relevant part that """"[a]s a condition precedent to filing an appeal, the contractor or the guarantor, whichever appeals, shall post a bond with the commissioner in an amount equal to one and one-half times the amount of the award."""""
0,"as the court explained, the state has the """" 'duty . . . to protect the people's common heritage of streams, lakes, marshlands and tidelands, surrendering that right of protection only in rare cases when the abandonment of that right is consistent with the purposes of the trust.'"
0,2011) (quotation omitted).
1,"to the extent that wright suggests or holds to the contrary, it is hereby overruled."
1,"be that as it may, to the extent that our present opinion is inconsistent with ryles and heath, the latter are hereby overruled."
1,"to the extent the result in any of these cases may have been correct under the law as set forth in today's opinion, that result is irrelevant to the question before us."
0,"this case bears no resemblance to cordis,   where """"academic norms gave rise to an expectation that disclosures will remain confidential."""""
1,"we now affirm the district court and overrule acorn, but only to the extent it is inconsistent with our en banc decision in this case."
0,"united states v. lewis, 467 f. app'x 298, 299 (5th cir. 2012) (unpublished)."
